client_uuid,company_type,industry,subindustry,company_size
a73d63a0-3987-4eea-97d1-3c906dbe6494,single,Household & Personal Products,Household Products,10 - 49
7b4f6c2d-9f6d-4f80-9f80-5833dd593436,single,Consumer Durables & Apparel,"Apparel, Accessories & Luxury Goods",100 - 199
04bf50c8-63fc-4964-a30f-41e0d8acbd80,corporation,Consumer Durables & Apparel,"Apparel, Accessories & Luxury Goods",less than 10
1780392c-d305-4d55-a5ce-a9f45a5438b3,corporation,Technology Hardware & Equipment,Computer & Electronics Retail,less than 10
376ca844-b498-4c0a-8dc8-121d9895d489,corporation,Automobiles & Components,Auto Parts & Equipment,10 - 49
9e6f105d-f378-4a67-8fcd-7fe2a6fda8b8,single,Manufacturing,Furniture,NA
217d9fa3-5e5f-4520-8362-d2833327e5de,corporation,Manufacturing,"Fashion, apparel, and accessories",NA
8a8e0b89-9736-4b84-b15f-0aeac140a268,corporation,Technology Hardware & Equipment,Electronic Equipment & Instruments,10 - 49
c0c6cc21-092d-4dfc-9881-8ebfdfa16632,corporation,Technology Hardware & Equipment,Electronics Goods,10 - 49
99368b2d-61b0-4414-a9b6-0e311b824271,corporation,Healthcare equipment,Health Care Supplies,10 - 49
8798b1d2-ce25-4807-9d37-7d44c03bd01c,single,"Food, Beverage & Tobacco",Agricultural Products,NA
5eb4821a-6215-4ac4-bd65-ba6ec256ee8a,corporation,Services,Construction – services,NA
34641fa8-944a-4bbe-a3f3-3d569da22e2f,corporation,Software & Services,IT Consulting & Other Services,less than 10
0e99f13c-dbf0-4634-90c9-4261d43b5bdf,corporation,Manufacturing,"Raw material suppliers (plastic, metals, etc.)",10 - 49
7a29547e-25bf-434b-9403-bac9fd2e971a,corporation,Construction,Construction & Engineering,50 - 99
8ab5942a-a2cd-4305-9970-e2c58fee9d2d,corporation,Manufacturing,Office supplies,NA
bc5b3bf6-c345-495a-936a-f216525c0498,single,Healthcare equipment,Health Care Supplies,less than 10
4f7d6ae3-59b9-40f9-9b34-c76e8b0286ed,partnership,Technology Hardware & Equipment,Consumer Electronics,less than 10
37988fdf-2c1c-4061-8d02-ed847d558e28,corporation,Commercial & Professional Services,IT Consulting & Other Services,10 - 49
097606c2-43ff-4d17-b17c-887d2bce2cf5,single,Food & Staples Retailing,General Merchandise Stores,less than 10
32a3529e-b7b0-427a-8f68-45c1ce8a57f5,NA,Software & Services,IT Consulting & Other Services,NA
68e1bd6a-c605-4737-87a4-72a68f0835b2,corporation,Materials,Paper Products,less than 10
5a6ccbd8-ff1f-4830-b743-dec493c5fcf9,corporation,Services,IT software,50 - 99
0ceaf195-a76b-4928-bfcc-2ad6a18cbca6,single,Materials,Construction Materials,less than 10
7b895a74-3dba-4f4b-9261-5d28069e5c74,corporation,Healthcare equipment,Health Care Supplies,less than 10
84ff0c38-d560-4a5c-a494-6c1d8738bb3f,corporation,Materials,Construction Materials,less than 10
25750a8f-6a4e-4de6-bbf5-aa896331324f,corporation,Technology Hardware & Equipment,Consumer Electronics,10 - 49
927f4aab-4488-449c-b59c-80ff47da91fd,single,Household & Personal Products,Personal Products,less than 10
cc958e51-6584-413c-9c52-4d428d4b90a9,single,Technology Hardware & Equipment,Electronics,less than 10
fe736d2b-8acf-4f60-a963-e17e384a4e6c,single,Trading,Trading Companies & Distributors,10 - 49
516dd2a5-41db-4512-9679-19f5a17f6554,corporation,Installation,Electronic Devices,less than 10
13113bc9-010f-4f34-a9e7-1e74d1e681fd,corporation,Consumer Durables & Apparel,"Apparel, Accessories & Luxury Goods",50 - 99
8c50d6af-8d12-490c-9958-3548277df1ab,single,Semiconductors & Semiconductor Equipment,Semiconductors,less than 10
d8008349-d963-46d9-b0b9-88b2db1bc509,single,Consumer Durables & Apparel,Housewares & Specialties,10 - 49
abe0c75d-d455-4eb7-af68-b9545ed74a59,single,Food & Staples Retailing,Food Retail,NA
02dd82d0-3182-4fdb-ab87-a1c7b301915c,single,Household & Personal Products,Personal Products,less than 10
4881176c-2091-4176-909a-d1ae57cdb86e,single,Media,Media & Advertising,10 - 49
e170faa5-7225-4705-ac34-ce31ae9b5555,corporation,Energy,Gas Distribution,100 - 199
ee885eb4-4b7a-4662-880a-bef5d5317f05,corporation,Consumer Durables & Apparel,"Apparel, Accessories & Luxury Goods",10 - 49
74eafd74-9e0b-4e14-991e-ae639da53f6c,corporation,Transportation,Trucking,10 - 49
a1f72e58-bfb2-478e-9db2-e5e55517b6b0,corporation,Materials,Construction Materials,10 - 49
c310e559-16c8-4e34-8625-cad864532179,corporation,Technology Hardware & Equipment,Technology Distributors,10 - 49
7327397e-df6f-4df7-8187-1d1eaee0dbaa,single,Consumer Durables & Apparel,"Apparel, Accessories & Luxury Goods",10 - 49
a9f5583b-08e6-4263-a6a5-b4dc182b5ad9,single,Household & Personal Products,Personal Products,less than 10
5b4fbcb7-60d4-4db1-90b3-c339a6acd9ec,corporation,Services,Construction – services,10 - 49
74059cdf-069e-4da0-b674-6d2423fe7593,corporation,Manufacturing,Chemicals & Byproducts,NA
d835781a-193f-4aa1-bb23-f727f851b8c2,single,Household & Personal Products,Personal Products,less than 10
63feae2d-e1e5-4139-87ad-3d55b8c78e13,single,Media,Advertising,NA
82537608-68e7-415a-b48f-bf6be5959b75,partnership,Consumer Durables & Apparel,"Apparel, Accessories & Luxury Goods",10 - 49
d09228b0-0d52-4415-8fe3-7fe8051d1343,single,Consumer Durables & Apparel,"Apparel, Accessories & Luxury Goods",50 - 99
f395d6d9-eaed-41de-bfc9-c3f1e92f2d01,single,Household & Personal Products,Personal Products,10 - 49
600ac343-99e9-4f02-bbc4-ecc77dc2b344,corporation,Construction,Construction & Engineering,100 - 199
e2c3760b-2618-486e-bb8d-79ccbd2f0e2d,single,Food & Staples Retailing,General Merchandise Stores,less than 10
f2b04433-b601-4290-b2bf-48f1ad92af74,single,Consumer Durables & Apparel,"Apparel, Accessories & Luxury Goods",NA
bbe5f7f0-92c0-43a3-b054-627e97e219d5,single,Consumer Durables & Apparel,"Fashion, apparel, and accessories",less than 10
fe1cee63-4f1f-4090-ad9f-461ee2712f35,single,Consumer Durables & Apparel,Homebuilding,10 - 49
429b66c5-76ed-482b-9c86-c1b6585ed925,corporation,Media,Media & Advertising,NA
08623315-3cb9-45f1-b724-143d75663143,corporation,Consumer Durables & Apparel,"Apparel, Accessories & Luxury Goods",50 - 99
cd8b5590-f8f4-4fe8-8443-e180a0430d1f,single,Automobiles & Components,Automobile & other machinery,NA
d829f50f-1533-425b-a3d9-9ead8eb62f16,single,"Food, Beverage & Tobacco",Food and beverage,10 - 49
abc8bb2a-711b-436f-9034-b8867e1aabcf,corporation,Manufacturing,Industrial Machinery,10 - 49
6f5ff496-7e5c-463d-9fbf-4ba4c093b606,single,Materials,Paper Products,less than 10
727da83f-5259-4dde-840a-98b182f104b8,corporation,Materials,Construction Materials,10 - 49
d0ccd401-0349-47ef-b681-f4d47f5ddeeb,single,Household & Personal Products,Household Products,less than 10
9dcd1604-e92f-482b-b4fe-52a15c34c33e,corporation,Healthcare equipment,Health Care Supplies,10 - 49
