client_uuid,repayment_uuid,start_date,original_due_date,current_due_date,times_rescheduled,deleted_date,paid_date,current_principal,current_interest,paid_principal,paid_interest
a73d63a0-3987-4eea-97d1-3c906dbe6494,2cf6629d-0926-443c-ae10-f9ac9bbb9228,2020-02-15,2020-03-20,2020-03-20,0,NA,2020-03-20,169797.1808,4267.600753697756,169797.1808,4267.600753697756
a73d63a0-3987-4eea-97d1-3c906dbe6494,7509ac49-e0cd-4d7d-a1e5-69a1948e5240,2020-04-07,2020-06-20,2020-06-20,0,NA,NA,479428.95,34261.978325917786,NA,NA
a73d63a0-3987-4eea-97d1-3c906dbe6494,526005bb-e550-4956-add3-77b06b595448,2020-03-23,2020-05-18,2020-05-18,0,NA,2020-05-19,504003.5,27249.328956164372,504003.5,27770.611
a73d63a0-3987-4eea-97d1-3c906dbe6494,4425177a-17fd-48f4-9fca-3d743af8f493,2020-05-22,2020-08-07,2020-08-07,0,NA,NA,454500,33389.04328767127,NA,NA
a73d63a0-3987-4eea-97d1-3c906dbe6494,6e9ebcae-d625-4715-a414-a7fdc6736fad,2020-04-17,2020-06-27,2020-06-27,0,NA,NA,488738.25,34225.37364821916,NA,NA
a73d63a0-3987-4eea-97d1-3c906dbe6494,46e8342d-47ec-43b0-adad-32b4a728d6cd,2020-03-09,2020-03-30,2020-03-30,0,NA,2020-03-30,923836.2000000001,17090.398404032825,923836.2000000001,17090.398404032825
a73d63a0-3987-4eea-97d1-3c906dbe6494,d7568cf0-f275-4766-bfae-1fffea05f0b7,2020-02-14,2020-03-28,2020-03-28,0,NA,2020-03-28,302409.60000000003,9539.071298630139,302409.60000000003,9539.071298630139
a73d63a0-3987-4eea-97d1-3c906dbe6494,41ef3a0b-d983-4c59-a551-491be6b237a7,2020-05-05,2020-08-01,2020-08-01,0,NA,NA,416000,34425.139726027446,NA,NA
a73d63a0-3987-4eea-97d1-3c906dbe6494,a59bb428-4ca7-4f6f-b797-14364d8df331,2020-02-07,2020-05-08,2020-05-08,0,NA,2020-05-08,328865,29954.7072,328865,29954.7072
a73d63a0-3987-4eea-97d1-3c906dbe6494,3598212b-fc26-4a46-93ed-796411283421,2020-02-07,2020-04-10,2020-04-10,0,NA,2020-04-10,320790,20502.435945205507,320790,20502.435945205507
a73d63a0-3987-4eea-97d1-3c906dbe6494,ec895c80-e331-4212-8acd-3cc490d608a3,2020-02-15,2020-03-06,2020-03-06,0,NA,2020-03-06,196612.5,3576.449589041098,196612.5,3576.449589041098
a73d63a0-3987-4eea-97d1-3c906dbe6494,a1200141-9282-4ca8-be34-e78279c338bf,2020-04-07,2020-05-08,2020-05-08,0,NA,2020-05-08,179741,4006.5658126027392,179741,4006.5658126027392
04bf50c8-63fc-4964-a30f-41e0d8acbd80,e3c3d4ba-d7dd-464c-9279-bb27bd726d90,2019-07-05,2019-11-26,2019-11-26,0,NA,2020-01-26,1265664,180536.8044,1265664,180536.8044
04bf50c8-63fc-4964-a30f-41e0d8acbd80,311f9ab6-c9ab-4040-ba51-80a6f2840a26,2020-02-16,2020-06-14,2020-06-14,0,NA,NA,1583400,221500.8749589039,NA,NA
217d9fa3-5e5f-4520-8362-d2833327e5de,9a4daffd-f387-4b67-ae49-126e934dc509,2020-05-17,2020-06-02,2020-06-02,0,NA,NA,24220.425600000002,242.7793528635615,NA,NA
8a8e0b89-9736-4b84-b15f-0aeac140a268,05fcc65c-ee61-4a28-aae5-0f2b2fe1b063,2020-04-20,2020-08-24,2020-08-24,0,NA,NA,9671730,1081653.5942137046,NA,NA
8a8e0b89-9736-4b84-b15f-0aeac140a268,cf451b22-c73d-4f79-9d0e-857f04ae84b3,2020-02-23,2020-04-12,2020-04-12,0,NA,2020-04-12,9270000,419152.4383561647,9270000,419152.4383561647
c0c6cc21-092d-4dfc-9881-8ebfdfa16632,67ddc87b-b374-4677-888d-973e2010e319,2019-12-07,2020-01-06,2020-01-06,0,NA,2020-01-20,1262008.8,28967.051555506838,1262008.8,28967.0472
c0c6cc21-092d-4dfc-9881-8ebfdfa16632,3c4a2a62-ceb8-4dea-b413-96819e22bbb8,2019-12-03,2020-01-10,2020-01-10,0,NA,2020-01-20,1778140,43893.78874520547,1778140,43893.7877
8798b1d2-ce25-4807-9d37-7d44c03bd01c,96a602c2-d215-4cd4-ba1c-1d10a5b644ce,2020-03-21,2020-04-24,2020-04-24,0,NA,2020-04-24,136381.344,4039.483061233974,136381.344,4039.483061233974
8798b1d2-ce25-4807-9d37-7d44c03bd01c,d2de45ba-da17-4e5d-b334-873de001634a,2020-05-15,2020-08-11,2020-08-11,0,NA,NA,163014.43200000003,13749.35936271784,NA,NA
8798b1d2-ce25-4807-9d37-7d44c03bd01c,04103c9b-85ef-4b98-aeae-9dd4d37b8f5a,2019-10-26,2019-12-09,2019-12-09,0,NA,2019-12-13,152746.56,7020.176099769867,152746.56,7020.176099769867
8798b1d2-ce25-4807-9d37-7d44c03bd01c,49d45472-eca3-47db-a6ad-92583146a159,2020-05-15,2020-08-14,2020-08-14,0,NA,NA,154891.016,12893.261084265245,NA,NA
8798b1d2-ce25-4807-9d37-7d44c03bd01c,505a970f-56ca-484a-aaa5-f548f77f0d44,2020-04-05,2020-05-08,2020-05-08,0,NA,2020-05-08,145932.7752,4303.617513021367,145932.7752,4303.617513021367
8798b1d2-ce25-4807-9d37-7d44c03bd01c,f8305eae-861f-4f65-9925-2decfa17b103,2020-05-22,2020-08-25,2020-08-25,0,NA,NA,159788.26499999998,14313.186120907441,NA,NA
8798b1d2-ce25-4807-9d37-7d44c03bd01c,290720e2-3fef-4034-af2d-2ce7410c9930,2020-05-22,2020-08-25,2020-08-25,0,NA,NA,154443.198,15062.90359272325,NA,NA
8798b1d2-ce25-4807-9d37-7d44c03bd01c,dc8ccc9f-7226-4daa-b549-7abc1c226365,2019-11-02,2019-12-09,2019-12-09,0,NA,2019-12-13,134136,4033.3490630137,134136,4033.3490630137
8798b1d2-ce25-4807-9d37-7d44c03bd01c,d0360cde-c872-41be-8191-efcec5a7a082,2020-01-14,2020-02-18,2020-02-18,0,NA,2020-02-18,152388.649,4231.597410542471,152388.649,4231.597410542471
8798b1d2-ce25-4807-9d37-7d44c03bd01c,e61c7232-2f40-41bb-aece-8b5a58ad736d,2020-02-18,2020-03-27,2020-03-27,0,NA,2020-03-27,152374.4064,5341.42987649753,152374.4064,5341.42987649753
8798b1d2-ce25-4807-9d37-7d44c03bd01c,fac51304-fdbb-4648-a219-5396d5439767,2020-03-06,2020-04-10,2020-04-10,0,NA,2020-04-10,122717.9904,4122.6194079912275,122717.9904,4122.6194079912275
8798b1d2-ce25-4807-9d37-7d44c03bd01c,1aaf3dad-7ae3-4da1-bdf4-c95d11049280,2020-05-16,2020-08-16,2020-08-16,0,NA,NA,165272.83500000002,15010.261289335871,NA,NA
8798b1d2-ce25-4807-9d37-7d44c03bd01c,3e3c80a3-6768-4c18-b067-cd1ef78be682,2020-04-13,2020-05-19,2020-05-19,0,NA,2020-05-19,154300.608,4914.419408419071,154300.608,4914.419408419071
8798b1d2-ce25-4807-9d37-7d44c03bd01c,51034065-523b-4037-bd9d-b258287227f6,2019-12-15,2020-01-14,2020-01-14,0,NA,2020-01-14,149624.2072,3674.180861250407,149624.2072,3674.180861250407
8798b1d2-ce25-4807-9d37-7d44c03bd01c,8fb23792-8926-4eab-bf9c-a3cb3de660fe,2020-03-09,2020-04-13,2020-04-13,0,NA,2020-04-13,148602.432,4419.530337686797,148602.432,4419.530337686797
